parentised_smiles	ID	class_label
CC(C)(C)[C@@]1(C)OCO[C@]23C=C[C@@]4(C[C@H]12)[C@H]1Cc2ccc(O)c5O[C@@H]3[C@]4(CCN1CC1CC1)c25	chembl_97048	POSITIVE
CC(C)(C)[C@@]1(C)OCO[C@]23CC[C@@]4(C[C@H]12)[C@H]1Cc2ccc(O)c5O[C@@H]3[C@]4(CCN1CC1CC1)c25	chembl_98938	POSITIVE
CC(C)(C)c1ccc(CSc2nnc(-c3ccccn3)n2Cc2ccco2)cc1	chembl_98203	NEGATIVE
CC(C)(CCCCCCC(C)(C)C(=O)Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1)C(=O)Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC3CCC3)c2c1	chembl_93043	POSITIVE
CC(C)C(=O)N[C@H]1C[C@@]2(O)[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CC2)CC1=O	chembl_98682	POSITIVE
CC(C)CC(=O)N[C@H]1C[C@@]2(O)[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CC2)CC1=O	chembl_97634	POSITIVE
CC(C)CCC(=O)N[C@H]1C[C@@]2(O)[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CC2)CC1=O	chembl_98301	POSITIVE
CC(C)CCCC(=O)N[C@H]1C[C@@]2(O)[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CC2)CC1=O	chembl_97410	POSITIVE
CC(C)CCN(CCc1cccc(O)c1)CCc1cccc(O)c1	chembl_94450	POSITIVE
CC(C)CCN(CCc1ccccc1)CCc1cccc(O)c1	chembl_96718	POSITIVE
CC(C)CCN(Cc1cc2cc(C)ccc2[nH]c1=O)C(=O)c1ccccn1	chembl_97577	NEGATIVE
CC(C)CC[C@H]1C[C@@]2(O)[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CC2)CC1=O	chembl_97677	POSITIVE
CC(C)CN1CCC23C4[C@H]5CN(C4CCC2(O5)C1Cc1ccc(O)cc31)C(=O)c1ccccc1	chembl_93580	POSITIVE
CC(C)CN1CC[C@H]2c3c(C[C@@H]1[C@]2(O)CCCN(C)C(=O)\C=C\c1ccoc1)ccc(O)c3O	chembl_97460	POSITIVE
CC(C)CN1CC[C@]23[C@@H]4[C@@H]5O[C@@]22CC[C@@]4(OCOc4c(O)ccc(C[C@@H]12)c34)N(Cc1ccccc1)C5=O	chembl_96810	POSITIVE
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)CNCC(C)(C)c1ccccc1)C(=O)N[C@H](CCCCN)C(=O)N1CCC(N)(CC1)C(O)=O	chembl_97637	POSITIVE
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)CNCC1(CC1)c1ccccc1)C(=O)N[C@H](CCCCN)C(=O)N1CCC(N)(CC1)C(O)=O	chembl_96900	POSITIVE
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)CNCCCc1ccccc1)C(=O)N[C@H](CCCCN)C(=O)N1CCOCC1	chembl_96908	POSITIVE
