parentised_smiles	ID	class_label
C(CN1CCN(CCCn2nnnc2C(c2ccccc2)c2ccccc2)CC1)Cc1ccccc1	chembl_114744	POSITIVE
C(CN1CCN(CCOC(c2ccccc2)c2ccccc2)CC1)Cc1ccccc1	chembl_115473	POSITIVE
C(CN1CCN(CCc2ccccc2)CC1)Cn1nnnc1C(c1ccccc1)c1ccccc1	chembl_116679	POSITIVE
C(CN1CCN(CCn2nnnc2C(c2ccccc2)c2ccccc2)CC1)Cc1ccccc1	chembl_116538	POSITIVE
C(CN1CCN(C\C=C\c2ccccc2)CC1)Cn1nnnc1C(c1ccccc1)c1ccccc1	chembl_116728	POSITIVE
C(CN1CCN(Cc2ccccc2)CC1)Cn1nnnc1C(c1ccccc1)c1ccccc1	chembl_116796	POSITIVE
C(CNC1CCN(CCOC(c2ccccc2)c2ccccc2)CC1)Cc1ccccc1	chembl_115613	POSITIVE
C(CNCC1CCCN(CCOC(c2ccccc2)c2ccccc2)C1)Cc1ccccc1	chembl_117077	POSITIVE
C(COC(c1ccccc1)c1ccccc1)NC1CCN(Cc2ccccc2)CC1	chembl_115804	POSITIVE
C(COc1ccc2[C@@H](CN3CCC[C@@H]3c2c1)c1cccnc1)CN1CCCCC1	chembl_68176	POSITIVE
C(COc1ccc2ccccc2c1)CN1CCC(Cc2ccccc2)CC1	chembl_116856	POSITIVE
C(Cc1ccccc1)C(Cc1ccccc1)N1CCNCC1	chembl_115801	POSITIVE
C(Cc1ccccc1)C1CNCCN1c1ccc2n[nH]cc2c1	chembl_114702	POSITIVE
C(Cc1ccccc1)N(C1CCNCC1)c1ccc2[nH]ccc2c1	chembl_116631	POSITIVE
C(Cc1ccccc1)N1CCN(CCn2nnnc2C(c2ccccc2)c2ccccc2)CC1	chembl_114704	POSITIVE
C(Cn1nnnc1C(c1ccccc1)c1ccccc1)N1CCC(Cc2ccccc2)CC1	chembl_116444	POSITIVE
C(Cn1nnnc1C(c1ccccc1)c1ccccc1)N1CCN(C\C=C\c2ccccc2)CC1	chembl_116453	POSITIVE
C(Cn1nnnc1C(c1ccccc1)c1ccccc1)N1CCN(Cc2ccccc2)CC1	chembl_116003	NEGATIVE
C(N(C1CCC1)C1CCNCC1)c1ccc2ccccc2c1	chembl_115103	POSITIVE
C(N(C1CCCNC1)c1ccc2[nH]ccc2c1)c1ccccc1	chembl_116895	POSITIVE
C(N(C1CCNC1)c1ccc2[nH]ccc2c1)c1ccccc1	chembl_114857	POSITIVE
C(N(C1CCNCC1)c1ccc2[nH]ccc2c1)c1ccccc1	chembl_117151	POSITIVE
C(N(C1CCNCC1)c1ccc2n[nH]cc2c1)c1ccccc1	chembl_115943	POSITIVE
C(N(C1CCNCC1)c1ccc2sccc2c1)c1ccccc1	chembl_116069	POSITIVE
C(N(C1CCNCC1)c1ncccn1)c1ccc2ccccc2c1	chembl_116599	POSITIVE
C(N(C1CNC1)C1CCCCC1)c1ccc2ccccc2c1	chembl_115980	POSITIVE
C(N(C1CNC1)c1ccccc1)c1ccc2ccccc2c1	chembl_44236	POSITIVE
C(N(Cc1ccc2ccccc2c1)C1CNC1)c1ccccc1	chembl_115327	POSITIVE
